"Market","Channel","Region","Category","SubCategory","Brand","Variant","PackType","PPG","PackSize","Year","Month","Week","Date","BrCatId","SalesValue","Volume","VolumeUnits","D1","D2","D3","D4","D5","D6","AV1","AV2","AV3","AV4","AV5","AV6","EV1","EV2","EV3","EV4","EV5","EV6","PrepDate","ProjCode"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,1,4,"2022-01-22","Brand",62992.02,16414.35,23463,98.5425193124789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,1,5,"2022-01-29","Brand",51987.7,12533.42,17919,96.2311545717654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,2,6,"2022-02-05","Brand",53287.16,12838.06,18349,97.1859173155266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,2,7,"2022-02-12","Brand",84889.15,22797.87,32576,99.3295537451213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,2,8,"2022-02-19","Brand",99874.73,27961.67,39951,99.4968059600992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,2,9,"2022-02-26","Brand",101263.28,28351.08,40506,99.4802088647538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,3,10,"2022-03-05","Brand",66932.83,17612.22,25167,99.0494683053471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,3,11,"2022-03-12","Brand",46600.85,11224.92,16046,91.8798686194501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,3,12,"2022-03-19","Brand",51806.84,12484.17,17844,95.9889139612994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,3,13,"2022-03-26","Brand",81632.3,21868.55,31251,97.9372400176491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,4,14,"2022-04-02","Brand",97410.9,27279.04,38976,99.5771067555618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,4,15,"2022-04-09","Brand",94173.89,26377.25,37692,99.3460801240772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,4,16,"2022-04-16","Brand",65889.31,17210.65,24595,99.0046613204534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,4,17,"2022-04-23","Brand",54504.75,13136.65,18775,97.2757670169705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,4,18,"2022-04-30","Brand",51378.4,12381.38,17694,97.0044640139869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,5,19,"2022-05-07","Brand",81378.2,21758.87,31088,99.4256822591677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,5,20,"2022-05-14","Brand",97518.81,27319.32,39038,99.3983495480428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,5,21,"2022-05-21","Brand",96786.16,27116.88,38741,99.3688239509837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,5,22,"2022-05-28","Brand",66216.73,17373.89,24823,99.1727579566729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
